label,text
ham,Hey there! Are we still on for lunch today?
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,Please find the attached report for Q3 financial results.
spam,URGENT: Your bank account has been compromised. Verify your identity immediately.
ham,Happy birthday! Hope you have a wonderful day.
spam,Get rich quick! Work from home and earn $5000 a week. Ask me how.
ham,Can you pick up some milk on your way back home?
spam,You have 1 new voicemail. Dial *86 to listen.
ham,The meeting is rescheduled to 3 PM tomorrow.
spam,Limited time offer: Get 50% off on all Rolex watches!
ham,Let's catch up this weekend. It's been a while!
spam,Claim your free iPhone 15 now! Limited stock available.
ham,I'll be a bit late today, stuck in traffic.
spam,Your Netflix subscription has expired. Update your payment details to continue watching.
ham,Did you finish the assignment for the machine learning class?
spam,Buy cheap Viagra online! 100% authentic and discreet shipping.
ham,Looking forward to the concert tonight!
spam,You have been selected for a free vacation to the Bahamas. Reply YES to confirm.
ham,Don't forget to submit your timesheet by Friday.
spam,Lose weight fast without diet or exercise! Try our new miracle pill.
ham,Are you coming to the party tonight?
spam,Your PayPal account has been restricted. Please log in to restore access.
ham,Thanks for your help with the project.
spam,Make money taking surveys! Sign up now and get a $10 bonus.
ham,What time is the game starting?
spam,Exclusive offer: Buy 1 get 1 free on all designer bags!
ham,I just sent you the document. Please review it.
spam,You are the 1,000,000th visitor! Click here to claim your prize.
ham,See you tomorrow at the office.
spam,Get a loan of up to $50,000 with no credit check!
ham,How was your vacation? We missed you at work.
spam,Your computer is infected with a virus! Download our antivirus software now.
ham,Let me know if you need any help with the presentation.
spam,Enlarge your... [censored] today! Guaranteed results.
ham,The weather is beautiful today. Want to go for a walk?
spam,Earn a degree from home in just 3 months! No classes required.
ham,I loved that movie we saw last night.
spam,Meet singles in your area tonight! Click here to chat.
ham,Can we schedule a call for next Tuesday?
spam,Your Amazon package could not be delivered. Click here to update your address.
ham,I'm making pasta for dinner. You in?
spam,Get a free quote for car insurance and save hundreds!
ham,Did you see the news today? Crazy stuff.
spam,You have been approved for a credit card with a $10,000 limit.
